Time(s),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s)
0.91,25.497,15.3874,0.00254731,14326.3,8084.45,0.530348
0.92,25.4969,15.3773,0.00249727,14326.4,8079.06,0.57887
0.93,25.4969,15.3673,0.00257001,14326.4,8073.17,0.284741
0.94,25.4969,15.3573,0.00256085,14327,8067.95,0.520854
0.95,25.497,15.3473,0.00249005,14326.3,8062.04,0.521446
0.96,25.497,15.3373,0.00258268,14326.5,8056.66,0.417248
0.97,25.497,15.3273,0.00256968,14326.6,8050.61,0.515383
0.98,25.4969,15.3173,0.00265588,14326.3,8045.05,0.511071
0.99,25.4971,15.3072,0.00255868,14326.8,8039.06,0.40553
1,25.497,15.2972,0.00257282,14326.8,8033.85,0.585016
1.01,25.497,15.2874,0.00255198,14326.5,8028.25,0.382627
1.02,25.497,15.2773,0.00252102,14326.6,8022.57,0.324592
1.03,25.497,15.2672,0.00255195,14326.4,8016.98,0.61047
1.04,25.4969,15.2573,0.00256164,14326.5,8011.45,0.589124
1.05,25.497,15.2473,0.00264521,14326.6,8006,0.345738
1.06,25.497,15.2374,0.00258688,14326.5,8000.26,0.504792
1.07,25.4969,15.2272,0.00256854,14326.7,7994.8,0.43981
1.08,25.497,15.2173,0.00261193,14326.9,7989.04,0.383223
1.09,25.4969,15.2073,0.00263874,14326.5,7983.15,0.70792
1.1,25.497,15.1973,0.00265391,14326.5,7977.61,0.319335
1.11,25.497,15.1873,0.00262944,14326.5,7972.13,0.353848
1.12,25.497,15.1772,0.00249349,14326.7,7966.2,0.471495
1.13,25.497,15.1672,0.00253928,14326.4,7961.06,0.384548
1.14,25.4969,15.1573,0.00255869,14326.4,7955.45,0.602293
1.15,25.4969,15.1473,0.00252481,14326.4,7949.48,0.691703
1.16,25.497,15.1373,0.00248334,14326.5,7943.84,0.53757
1.17,25.4969,15.1272,0.00254032,14326.5,7938.27,0.0230048
1.18,25.4969,15.1172,0.00251632,14326.4,7932.93,0.699621
1.19,25.497,15.1072,0.00256399,14326.7,7927.19,0.654786
1.2,25.4971,15.0973,0.00256815,14326.6,7921.67,0.678871
1.21,25.4969,15.0873,0.00251102,14326.2,7915.79,0.210487
1.22,25.497,15.0773,0.00251275,14326.6,7910.09,0.658731
1.23,25.4969,15.0672,0.00256794,14326.5,7904.48,0.470536
1.24,25.497,15.0574,0.00255829,14326.5,7899.18,0.553665
1.25,25.497,15.0473,0.00257949,14326.7,7893.49,0.254766
1.26,25.4969,15.0372,0.00251537,14326.5,7887.75,0.440614
1.27,25.497,15.0273,0.00257305,14326.8,7882.17,0.407817
1.28,25.4969,15.0172,0.00257063,14326.5,7876.73,0.521191
1.29,25.4969,15.0072,0.00255132,14326.5,7870.87,0.372202
1.3,25.497,14.9973,0.00262826,14326.8,7865.3,0.448446
1.31,25.4969,14.9872,0.00271588,14326.4,7860,0.555773
1.32,25.4969,14.9773,0.00258255,14326.6,7854.28,0.150153
1.33,25.4969,14.9673,0.00258253,14326.6,7848.2,0.748342
1.34,25.497,14.9573,0.00244239,14326.5,7842.78,0.46124
1.35,25.4969,14.9473,0.00263934,14326.6,7836.99,0.222096
1.36,25.4969,14.9371,0.00260152,14326.8,7831.77,0.544091
1.37,25.497,14.9272,0.00260545,14326.6,7825.75,0.24112
1.38,25.4968,14.9173,0.00260956,14326.5,7820.78,0.492436
1.39,25.4969,14.9072,0.00247994,14326.6,7814.88,0.413933
